,COMMON NAME,OBSERVATION COUNT,ATLAS BLOCK,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,LOCALITY,COUNTRY,STATE,OBSERVATION DATE TIME
2428,American Golden-Plover,1,,-2.10971,-80.741539,2015-01-09,07:45:00,225.0,,,Ecuasal- Pacoa,Ecuador,Santa Elena,2015-01-09:07:45:00
20,American Golden-Plover,2,,-36.321721,-56.7727733,2015-01-11,18:40:00,80.0,1.0,,Tapera de López (AICA BA07),Argentina,Buenos Aires,2015-01-11:18:40:00
2420,American Golden-Plover,1,,-0.1098418,-78.3649528,2015-01-13,11:30:00,20.0,,,Quito airport pond,Ecuador,Pichincha,2015-01-13:11:30:00
2421,American Golden-Plover,1,,-0.1098418,-78.3649528,2015-01-13,11:30:00,20.0,,,Quito airport pond,Ecuador,Pichincha,2015-01-13:11:30:00
2422,American Golden-Plover,1,,-0.1098418,-78.3649528,2015-01-13,11:00:00,20.0,0.1,,Quito airport pond,Ecuador,Pichincha,2015-01-13:11:00:00
2411,American Golden-Plover,1,,22.5473672,-78.4157753,2015-01-14,07:00:00,420.0,50.0,,"Cuba, Cayo Coco, Guillermo et Paredon",Cuba,Ciego de Ávila,2015-01-14:07:00:00
2412,American Golden-Plover,1,,22.5473672,-78.4157753,2015-01-14,07:00:00,420.0,50.0,,"Cuba, Cayo Coco, Guillermo et Paredon",Cuba,Ciego de Ávila,2015-01-14:07:00:00
2413,American Golden-Plover,1,,22.5473672,-78.4157753,2015-01-14,07:00:00,420.0,50.0,,"Cuba, Cayo Coco, Guillermo et Paredon",Cuba,Ciego de Ávila,2015-01-14:07:00:00
2414,American Golden-Plover,1,,22.5473672,-78.4157753,2015-01-14,07:00:00,420.0,50.0,,"Cuba, Cayo Coco, Guillermo et Paredon",Cuba,Ciego de Ávila,2015-01-14:07:00:00
63,American Golden-Plover,3,,-33.241989,-59.326649,2015-01-14,20:02:00,120.0,8.047,,Gualaguay road,Argentina,Entre Ríos,2015-01-14:20:02:00
