,date,OBSERVATION COUNT
0,2015-01-04,24
1,2015-01-11,28
2,2015-01-18,44
3,2015-01-25,14
4,2015-02-01,5
5,2015-02-08,36
6,2015-02-15,152
7,2015-02-22,63
8,2015-03-01,126
9,2015-03-08,572
10,2015-03-15,9389
11,2015-03-22,13372
12,2015-03-29,12410
13,2015-04-05,12885
14,2015-04-12,5710
15,2015-04-19,5308
16,2015-04-26,5711
17,2015-05-03,37624
18,2015-05-10,12406
19,2015-05-17,700
20,2015-05-24,387
21,2015-05-31,515
22,2015-06-07,1361
23,2015-06-14,645
24,2015-06-21,567
25,2015-06-28,357
26,2015-07-05,383
27,2015-07-12,265
28,2015-07-19,140
29,2015-07-26,100
30,2015-08-02,109
31,2015-08-09,309
32,2015-08-16,844
33,2015-08-23,870
34,2015-08-30,2241
35,2015-09-06,3758
36,2015-09-13,4136
37,2015-09-20,1658
38,2015-09-27,949
39,2015-10-04,4638
40,2015-10-11,1328
41,2015-10-18,1415
42,2015-10-25,324
43,2015-11-01,102
44,2015-11-08,560
45,2015-11-15,345
46,2015-11-22,313
47,2015-11-29,617
48,2015-12-06,76
49,2015-12-13,104
50,2015-12-20,2
51,2015-12-27,57
52,2016-01-03,8
53,2016-01-10,338
54,2016-01-17,123
55,2016-01-24,632
56,2016-01-31,9
57,2016-02-07,206
58,2016-02-14,209
59,2016-02-21,913
60,2016-02-28,706
61,2016-03-06,5591
62,2016-03-13,5571
63,2016-03-20,23716
64,2016-03-27,44914
65,2016-04-03,19621
66,2016-04-10,21501
67,2016-04-17,14528
68,2016-04-24,8251
69,2016-05-01,11997
70,2016-05-08,1048
71,2016-05-15,4687
72,2016-05-22,557
73,2016-05-29,347
74,2016-06-05,767
75,2016-06-12,947
76,2016-06-19,1576
77,2016-06-26,730
78,2016-07-03,847
79,2016-07-10,1395
80,2016-07-17,234
81,2016-07-24,161
82,2016-07-31,86
83,2016-08-07,96
84,2016-08-14,97
85,2016-08-21,1001
86,2016-08-28,3936
87,2016-09-04,4124
88,2016-09-11,2299
89,2016-09-18,3261
90,2016-09-25,3784
91,2016-10-02,3505
92,2016-10-09,1474
93,2016-10-16,1254
94,2016-10-23,1862
95,2016-10-30,920
96,2016-11-06,297
97,2016-11-13,684
98,2016-11-20,153
99,2016-11-27,786
100,2016-12-04,930
101,2016-12-11,357
102,2016-12-18,31
103,2016-12-25,150
104,2017-01-01,367
105,2017-01-08,2070
106,2017-01-15,290
107,2017-01-22,356
108,2017-01-29,611
109,2017-02-05,132
110,2017-02-12,176
111,2017-02-19,188
112,2017-02-26,7344
113,2017-03-05,2534
114,2017-03-12,8710
115,2017-03-19,13176
116,2017-03-26,14701
117,2017-04-02,19721
118,2017-04-09,41189
119,2017-04-16,15539
120,2017-04-23,19629
121,2017-04-30,3707
122,2017-05-07,5549
123,2017-05-14,1422
124,2017-05-21,1516
125,2017-05-28,943
126,2017-06-04,1601
127,2017-06-11,771
128,2017-06-18,462
129,2017-06-25,335
130,2017-07-02,451
131,2017-07-09,641
132,2017-07-16,255
133,2017-07-23,126
134,2017-07-30,48
135,2017-08-06,178
136,2017-08-13,502
137,2017-08-20,2028
138,2017-08-27,4748
139,2017-09-03,4163
140,2017-09-10,6039
141,2017-09-17,6151
142,2017-09-24,5368
143,2017-10-01,4328
144,2017-10-08,4703
145,2017-10-15,1976
146,2017-10-22,3702
147,2017-10-29,1868
148,2017-11-05,300
149,2017-11-12,619
150,2017-11-19,674
151,2017-11-26,2065
152,2017-12-03,554
153,2017-12-10,4791
154,2017-12-17,2
155,2017-12-24,216
156,2017-12-31,811
157,2018-01-07,841
158,2018-01-14,141
159,2018-01-21,350
160,2018-01-28,457
161,2018-02-04,320
162,2018-02-11,1365
163,2018-02-18,244
164,2018-02-25,90
165,2018-03-04,523
166,2018-03-11,4317
167,2018-03-18,11856
168,2018-03-25,24413
169,2018-04-01,34064
170,2018-04-08,37377
171,2018-04-15,28800
172,2018-04-22,21006
173,2018-04-29,52856
174,2018-05-06,111940
175,2018-05-13,3723
176,2018-05-20,4426
177,2018-05-27,1552
178,2018-06-03,1822
179,2018-06-10,1170
180,2018-06-17,531
181,2018-06-24,345
182,2018-07-01,945
183,2018-07-08,468
184,2018-07-15,146
185,2018-07-22,117
186,2018-07-29,73
187,2018-08-05,247
188,2018-08-12,370
189,2018-08-19,1185
190,2018-08-26,1546
191,2018-09-02,3389
192,2018-09-09,1927
193,2018-09-16,3611
194,2018-09-23,2375
195,2018-09-30,3007
196,2018-10-07,1611
197,2018-10-14,753
198,2018-10-21,610
199,2018-10-28,446
200,2018-11-04,385
201,2018-11-11,640
202,2018-11-18,87
203,2018-11-25,598
204,2018-12-02,395
205,2018-12-09,192
206,2018-12-16,92
207,2018-12-23,609
208,2018-12-30,215
209,2019-01-06,16
210,2019-01-13,441
211,2019-01-20,2424
212,2019-01-27,175
213,2019-02-03,119
214,2019-02-10,621
215,2019-02-17,134
216,2019-02-24,134
217,2019-03-03,503
218,2019-03-10,2218
219,2019-03-17,5504
220,2019-03-24,17354
221,2019-03-31,16105
222,2019-04-07,24914
223,2019-04-14,10324
224,2019-04-21,6710
225,2019-04-28,57250
226,2019-05-05,3123
227,2019-05-12,1914
228,2019-05-19,1435
229,2019-05-26,1222
230,2019-06-02,624
231,2019-06-09,597
232,2019-06-16,1069
233,2019-06-23,540
234,2019-06-30,393
235,2019-07-07,282
236,2019-07-14,55
237,2019-07-21,50
238,2019-07-28,32
239,2019-08-04,151
