,date,OBSERVATION COUNT
0,2014-12-28,538
1,2015-01-04,504
2,2015-01-11,593
3,2015-01-18,564
4,2015-01-25,491
5,2015-02-01,366
6,2015-02-08,639
7,2015-02-15,490
8,2015-02-22,545
9,2015-03-01,563
10,2015-03-08,713
11,2015-03-15,903
12,2015-03-22,731
13,2015-03-29,514
14,2015-04-05,611
15,2015-04-12,691
16,2015-04-19,570
17,2015-04-26,436
18,2015-05-03,502
19,2015-05-10,472
20,2015-05-17,385
21,2015-05-24,426
22,2015-05-31,307
23,2015-06-07,549
24,2015-06-14,373
25,2015-06-21,273
26,2015-06-28,231
27,2015-07-05,358
28,2015-07-12,206
29,2015-07-19,236
30,2015-07-26,173
31,2015-08-02,254
32,2015-08-09,221
33,2015-08-16,212
34,2015-08-23,237
35,2015-08-30,286
36,2015-09-06,261
37,2015-09-13,299
38,2015-09-20,425
39,2015-09-27,432
40,2015-10-04,468
41,2015-10-11,744
42,2015-10-18,989
43,2015-10-25,849
44,2015-11-01,824
45,2015-11-08,753
46,2015-11-15,672
47,2015-11-22,424
48,2015-11-29,394
49,2015-12-06,244
50,2015-12-13,495
51,2015-12-20,394
52,2015-12-27,854
53,2016-01-03,481
54,2016-01-10,671
55,2016-01-17,677
56,2016-01-24,465
57,2016-01-31,520
58,2016-02-07,670
59,2016-02-14,720
60,2016-02-21,596
61,2016-02-28,610
62,2016-03-06,811
63,2016-03-13,1173
64,2016-03-20,1184
65,2016-03-27,877
66,2016-04-03,706
67,2016-04-10,813
68,2016-04-17,670
69,2016-04-24,633
70,2016-05-01,633
71,2016-05-08,643
72,2016-05-15,482
73,2016-05-22,479
74,2016-05-29,470
75,2016-06-05,373
76,2016-06-12,391
77,2016-06-19,326
78,2016-06-26,305
79,2016-07-03,233
80,2016-07-10,307
81,2016-07-17,301
82,2016-07-24,243
83,2016-07-31,283
84,2016-08-07,376
85,2016-08-14,283
86,2016-08-21,307
87,2016-08-28,493
88,2016-09-04,452
89,2016-09-11,520
90,2016-09-18,775
91,2016-09-25,852
92,2016-10-02,990
93,2016-10-09,879
