,date,OBSERVATION COUNT
0,2014-12-28,4447
1,2015-01-04,3668
2,2015-01-11,3928
3,2015-01-18,4179
4,2015-01-25,3576
5,2015-02-01,3590
6,2015-02-08,4997
7,2015-02-15,3984
8,2015-02-22,4020
9,2015-03-01,4335
10,2015-03-08,4640
11,2015-03-15,5041
12,2015-03-22,4822
13,2015-03-29,6061
14,2015-04-05,5768
15,2015-04-12,5947
16,2015-04-19,7471
17,2015-04-26,6557
18,2015-05-03,6674
19,2015-05-10,4122
20,2015-05-17,3382
21,2015-05-24,3045
22,2015-05-31,3390
23,2015-06-07,2561
24,2015-06-14,2087
25,2015-06-21,2406
26,2015-06-28,2045
27,2015-07-05,2085
28,2015-07-12,2155
29,2015-07-19,1922
30,2015-07-26,2053
31,2015-08-02,2205
32,2015-08-09,2746
33,2015-08-16,2419
34,2015-08-23,3368
35,2015-08-30,3257
36,2015-09-06,3862
37,2015-09-13,5223
38,2015-09-20,4451
39,2015-09-27,4232
40,2015-10-04,5858
41,2015-10-11,5724
42,2015-10-18,4650
43,2015-10-25,3826
44,2015-11-01,3350
45,2015-11-08,3493
46,2015-11-15,3107
47,2015-11-22,3445
48,2015-11-29,2644
49,2015-12-06,3306
50,2015-12-13,4932
51,2015-12-20,3930
52,2015-12-27,7443
53,2016-01-03,5080
54,2016-01-10,5072
55,2016-01-17,5416
56,2016-01-24,5303
57,2016-01-31,4678
58,2016-02-07,6400
59,2016-02-14,5636
60,2016-02-21,4710
61,2016-02-28,5441
62,2016-03-06,5115
63,2016-03-13,5954
64,2016-03-20,5572
65,2016-03-27,5915
66,2016-04-03,7008
67,2016-04-10,7652
68,2016-04-17,8681
69,2016-04-24,8026
70,2016-05-01,6886
71,2016-05-08,6779
72,2016-05-15,4180
73,2016-05-22,4097
74,2016-05-29,3909
75,2016-06-05,2807
76,2016-06-12,2608
77,2016-06-19,2549
78,2016-06-26,2218
79,2016-07-03,2218
80,2016-07-10,2150
81,2016-07-17,2317
82,2016-07-24,1984
83,2016-07-31,2319
84,2016-08-07,2188
85,2016-08-14,2961
86,2016-08-21,2781
87,2016-08-28,3333
88,2016-09-04,4678
