,date,OBSERVATION COUNT
0,2014-12-28,31
1,2015-01-04,16
2,2015-01-11,34
3,2015-01-18,31
4,2015-01-25,24
5,2015-02-01,14
6,2015-02-08,22
7,2015-02-15,31
8,2015-02-22,20
9,2015-03-01,15
10,2015-03-08,73
11,2015-03-15,44
12,2015-03-22,35
13,2015-03-29,71
14,2015-04-05,32
15,2015-04-12,106
16,2015-04-19,41
17,2015-04-26,50
18,2015-05-03,44
19,2015-05-10,33
20,2015-05-17,22
21,2015-05-24,22
22,2015-05-31,43
23,2015-06-07,30
24,2015-06-14,33
25,2015-06-21,10
26,2015-06-28,15
27,2015-07-05,35
28,2015-07-12,36
29,2015-07-19,3
30,2015-07-26,35
31,2015-08-02,18
32,2015-08-09,9
33,2015-08-16,17
34,2015-08-23,12
35,2015-08-30,21
36,2015-09-06,27
37,2015-09-13,48
38,2015-09-20,26
39,2015-09-27,15
40,2015-10-04,40
41,2015-10-11,27
42,2015-10-18,18
43,2015-10-25,4
44,2015-11-01,18
45,2015-11-08,26
46,2015-11-15,15
47,2015-11-22,19
48,2015-11-29,15
49,2015-12-06,18
50,2015-12-13,13
51,2015-12-20,23
52,2015-12-27,29
53,2016-01-03,21
54,2016-01-10,19
55,2016-01-17,21
56,2016-01-24,51
57,2016-01-31,22
58,2016-02-07,22
59,2016-02-14,45
60,2016-02-21,71
61,2016-02-28,62
62,2016-03-06,81
63,2016-03-13,73
64,2016-03-20,81
65,2016-03-27,120
66,2016-04-03,104
67,2016-04-10,70
68,2016-04-17,128
69,2016-04-24,120
70,2016-05-01,80
71,2016-05-08,101
72,2016-05-15,69
73,2016-05-22,69
74,2016-05-29,71
75,2016-06-05,75
76,2016-06-12,41
77,2016-06-19,45
78,2016-06-26,37
79,2016-07-03,38
80,2016-07-10,50
81,2016-07-17,50
82,2016-07-24,39
83,2016-07-31,48
84,2016-08-07,41
85,2016-08-14,70
86,2016-08-21,56
87,2016-08-28,113
88,2016-09-04,108
89,2016-09-11,126
90,2016-09-18,150
91,2016-09-25,135
92,2016-10-02,119
93,2016-10-09,114
94,2016-10-16,81
95,2016-10-23,90
96,2016-10-30,90
97,2016-11-06,96
98,2016-11-13,61
99,2016-11-20,71
100,2016-11-27,81
101,2016-12-04,58
102,2016-12-11,173
103,2016-12-18,115
104,2016-12-25,239
105,2017-01-01,115
106,2017-01-08,183
107,2017-01-15,193
108,2017-01-22,146
109,2017-01-29,213
110,2017-02-05,214
111,2017-02-12,263
112,2017-02-19,232
113,2017-02-26,183
114,2017-03-05,158
115,2017-03-12,196
116,2017-03-19,206
117,2017-03-26,463
118,2017-04-02,256
119,2017-04-09,312
120,2017-04-16,300
121,2017-04-23,285
122,2017-04-30,230
123,2017-05-07,211
124,2017-05-14,203
125,2017-05-21,146
126,2017-05-28,109
127,2017-06-04,109
128,2017-06-11,150
129,2017-06-18,104
130,2017-06-25,101
131,2017-07-02,99
132,2017-07-09,50
133,2017-07-16,45
134,2017-07-23,79
135,2017-07-30,90
136,2017-08-06,107
137,2017-08-13,84
138,2017-08-20,130
139,2017-08-27,193
140,2017-09-03,165
141,2017-09-10,158
142,2017-09-17,169
143,2017-09-24,170
144,2017-10-01,157
145,2017-10-08,125
146,2017-10-15,174
147,2017-10-22,131
148,2017-10-29,136
149,2017-11-05,228
150,2017-11-12,142
151,2017-11-19,171
152,2017-11-26,156
153,2017-12-03,95
