,date,OBSERVATION COUNT
0,2014-12-28,17
1,2015-01-04,16
2,2015-01-11,0
3,2015-01-18,10
4,2015-01-25,431
5,2015-02-01,114
6,2015-02-08,627
7,2015-02-15,38
8,2015-02-22,80
9,2015-03-01,5782
10,2015-03-08,3267
11,2015-03-15,3079
12,2015-03-22,12026
13,2015-03-29,18590
14,2015-04-05,7055
15,2015-04-12,5517
16,2015-04-19,3620
17,2015-04-26,2144
18,2015-05-03,1922
19,2015-05-10,1552
20,2015-05-17,1192
21,2015-05-24,1054
22,2015-05-31,951
23,2015-06-07,885
24,2015-06-14,881
25,2015-06-21,890
26,2015-06-28,668
27,2015-07-05,1009
28,2015-07-12,827
29,2015-07-19,1120
30,2015-07-26,1031
31,2015-08-02,1443
32,2015-08-09,1154
33,2015-08-16,1960
34,2015-08-23,1590
35,2015-08-30,1818
36,2015-09-06,1926
37,2015-09-13,2682
38,2015-09-20,1946
39,2015-09-27,16874
40,2015-10-04,122073
41,2015-10-11,469744
42,2015-10-18,187285
43,2015-10-25,36207
44,2015-11-01,9136
45,2015-11-08,3371
46,2015-11-15,749
47,2015-11-22,131
48,2015-11-29,609
49,2015-12-06,163
50,2015-12-13,6
51,2015-12-20,172
52,2015-12-27,191
53,2016-01-03,182
54,2016-01-10,23
55,2016-01-17,203
56,2016-01-24,858
57,2016-01-31,639
58,2016-02-07,81
59,2016-02-14,349
60,2016-02-21,100
61,2016-02-28,2480
62,2016-03-06,11467
63,2016-03-13,43433
64,2016-03-20,128179
65,2016-03-27,5963
66,2016-04-03,11763
67,2016-04-10,10715
68,2016-04-17,6602
69,2016-04-24,2565
70,2016-05-01,2292
71,2016-05-08,2214
72,2016-05-15,1684
73,2016-05-22,1819
74,2016-05-29,1224
75,2016-06-05,839
76,2016-06-12,1271
77,2016-06-19,716
78,2016-06-26,991
79,2016-07-03,3587
80,2016-07-10,1518
81,2016-07-17,1689
82,2016-07-24,1188
83,2016-07-31,1878
84,2016-08-07,1634
85,2016-08-14,2423
86,2016-08-21,3258
87,2016-08-28,3354
88,2016-09-04,2337
89,2016-09-11,1645
90,2016-09-18,6058
91,2016-09-25,68758
92,2016-10-02,167823
93,2016-10-09,1046614
94,2016-10-16,577857
95,2016-10-23,116022
96,2016-10-30,5611
97,2016-11-06,2022
98,2016-11-13,920
99,2016-11-20,1657
100,2016-11-27,7
101,2016-12-04,1219
102,2016-12-11,340
103,2016-12-18,19
104,2016-12-25,70
105,2017-01-01,86
106,2017-01-08,35
107,2017-01-15,68
108,2017-01-22,223
109,2017-01-29,75
110,2017-02-05,174
111,2017-02-12,524
112,2017-02-19,641
113,2017-02-26,1613
114,2017-03-05,2008
115,2017-03-12,23072
116,2017-03-19,17654
117,2017-03-26,52437
118,2017-04-02,19075
119,2017-04-09,6371
120,2017-04-16,4985
121,2017-04-23,3266
122,2017-04-30,3316
123,2017-05-07,2897
124,2017-05-14,1917
125,2017-05-21,1761
126,2017-05-28,1982
127,2017-06-04,1397
128,2017-06-11,1123
129,2017-06-18,1009
130,2017-06-25,1090
131,2017-07-02,1155
132,2017-07-09,1196
133,2017-07-16,1374
134,2017-07-23,1812
135,2017-07-30,1830
136,2017-08-06,2917
137,2017-08-13,3590
138,2017-08-20,2964
139,2017-08-27,3069
140,2017-09-03,5207
141,2017-09-10,3818
142,2017-09-17,7888
143,2017-09-24,6509
144,2017-10-01,25475
145,2017-10-08,1763534
146,2017-10-15,378996
147,2017-10-22,73791
148,2017-10-29,289376
149,2017-11-05,5095
150,2017-11-12,590
151,2017-11-19,225
152,2017-11-26,832
153,2017-12-03,1235
154,2017-12-10,1052
155,2017-12-17,399
156,2017-12-24,48
157,2017-12-31,352
158,2018-01-07,74
159,2018-01-14,323
160,2018-01-21,348
161,2018-01-28,121
162,2018-02-04,155
163,2018-02-11,511
164,2018-02-18,1380
165,2018-02-25,1885
166,2018-03-04,4428
167,2018-03-11,21236
168,2018-03-18,49372
169,2018-03-25,32382
170,2018-04-01,17331
171,2018-04-08,22283
172,2018-04-15,8906
173,2018-04-22,7916
174,2018-04-29,4637
175,2018-05-06,2620
176,2018-05-13,3099
177,2018-05-20,2597
178,2018-05-27,2632
179,2018-06-03,1591
180,2018-06-10,1416
181,2018-06-17,1585
182,2018-06-24,1719
183,2018-07-01,1821
184,2018-07-08,2082
185,2018-07-15,1606
186,2018-07-22,2890
187,2018-07-29,3068
188,2018-08-05,4901
189,2018-08-12,3818
190,2018-08-19,2966
191,2018-08-26,5600
192,2018-09-02,3269
193,2018-09-09,2750
194,2018-09-16,4080
195,2018-09-23,6090
196,2018-09-30,24380
197,2018-10-07,294136
198,2018-10-14,286931
199,2018-10-21,618684
200,2018-10-28,139911
201,2018-11-04,141404
202,2018-11-11,6884
203,2018-11-18,2708
204,2018-11-25,856
205,2018-12-02,2725
206,2018-12-09,1041
207,2018-12-16,109
208,2018-12-23,468
209,2018-12-30,509
210,2019-01-06,100
211,2019-01-13,104
212,2019-01-20,605
213,2019-01-27,414
214,2019-02-03,186
215,2019-02-10,362
216,2019-02-17,1559
217,2019-02-24,1114
218,2019-03-03,710
219,2019-03-10,6372
220,2019-03-17,36480
221,2019-03-24,60653
222,2019-03-31,20775
223,2019-04-07,11805
224,2019-04-14,13850
225,2019-04-21,5564
226,2019-04-28,4831
227,2019-05-05,2959
228,2019-05-12,3111
229,2019-05-19,2987
230,2019-05-26,3055
231,2019-06-02,1988
232,2019-06-09,1739
233,2019-06-16,1839
234,2019-06-23,1878
235,2019-06-30,1293
236,2019-07-07,1266
237,2019-07-14,2168
238,2019-07-21,4215
239,2019-07-28,3793
240,2019-08-04,4214
241,2019-08-11,3247
242,2019-08-18,4155
243,2019-08-25,3795
244,2019-09-01,2786
245,2019-09-08,2405
246,2019-09-15,2545
247,2019-09-22,4707
248,2019-09-29,51303
249,2019-10-06,1295780
250,2019-10-13,792311
251,2019-10-20,526266
252,2019-10-27,136535
253,2019-11-03,27941
254,2019-11-10,12003
255,2019-11-17,1611
256,2019-11-24,1581
257,2019-12-01,489
258,2019-12-08,144
259,2019-12-15,4244
260,2019-12-22,183
261,2019-12-29,52
